Title,Location,Rating,Image URL,Link
Youngblood,San Diego,5 (264),https://resizer.otstatic.com/v2/photos/huge/1/61252842.jpg,https://www.opentable.com/r/youngblood-san-diego?ot_marketing=true
Clark's Oyster Bar – Aspen,Aspen,4.7 (164),https://images.otstatic.com/prod/25606819/1/huge.jpg,https://www.opentable.com/r/clarks-oyster-bar-aspen?ot_marketing=true
Matsuhisa Vail,Vail,4.8 (312),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/60653b86cc02e11ea9bda3e43838f049.webp,https://www.opentable.com/matsuhisa-vail
Williams & Graham,Denver,4.8 (147),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/2d9b8b1d3bc1fb6237b1247511740772.webp,https://www.opentable.com/r/williams-and-graham-denver?ot_marketing=true
Caruso's Grocery – DC,Washington,4.8 (348),https://images.otstatic.com/prod1/50445560/3/huge.jpg,https://www.opentable.com/r/carusos-grocery-dc-washington?ot_marketing=true
dLeña,Washington,4.7 (551),https://images.otstatic.com/prod1/41974308/2/huge.jpg,https://www.opentable.com/r/dlena-washington-2?ot_marketing=true
Filomena Ristorante,Washington,4.8 (1466),https://images.otstatic.com/prod/26172772/2/huge.jpg,https://www.opentable.com/r/filomena-ristorante-washington?ot_marketing=true
Old Ebbitt Grill,Washington,4.8 (2150),https://resizer.otstatic.com/v2/photos/huge/1/71537345.jpg,https://www.opentable.com/old-ebbitt-grill
Bern's Steak House,Tampa,4.8 (1778),https://images.otstatic.com/prod1/52503393/3/huge.jpg,https://www.opentable.com/r/berns-steak-house-tampa?ot_marketing=true
Buccan,Palm Beach,4.9 (565),https://images.otstatic.com/prod1/29730368/1/huge.jpg,https://www.opentable.com/buccan
Dry Dock Waterfront Grill,Longboat Key,4.9 (568),https://images.otstatic.com/prod/24983431/1/huge.jpg,https://www.opentable.com/r/drydock-waterfront-grill-longboat-key?ot_marketing=true
Sails Restaurant,Naples,4.9 (270),https://images.otstatic.com/prod1/48539741/3/huge.jpg,https://www.opentable.com/r/sails-restaurant-naples?ot_marketing=true
Bones,Atlanta,4.9 (806),https://resizer.otstatic.com/v2/photos/huge/6/50784068.jpg,https://www.opentable.com/r/bones-atlanta?ot_marketing=true
La Grotta,Atlanta,4.8 (286),https://images.otstatic.com/prod1/43569489/3/huge.jpg,https://www.opentable.com/la-grotta
Akahoshi Ramen,Chicago,4.8 (400),https://resizer.otstatic.com/v2/photos/huge/3/64182375.jpg,https://www.opentable.com/r/akahoshi-ramen-chicago?ot_marketing=true
Boka,Chicago,4.8 (544),https://resizer.otstatic.com/v2/photos/huge/3/66290837.jpg,https://www.opentable.com/r/boka-chicago?ot_marketing=true
Café Ba-Ba-Reeba,Chicago,4.8 (1077),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/e86c4f4dd85766f36478685444c8132c.webp,https://www.opentable.com/cafe-ba-ba-reeba-chicago
Chicago Pizza & Oven Grinder Co.,Chicago,4.9 (631),https://images.otstatic.com/prod1/31785429/2/huge.jpg,https://www.opentable.com/r/chicago-pizza-and-oven-grinder-co-chicago?ot_marketing=true
Gibsons Italia,Chicago,4.8 (1428),https://resizer.otstatic.com/v2/photos/huge/1/71539294.jpg,https://www.opentable.com/r/gibsons-italia-chicago?ot_marketing=true
Girl & the Goat,Chicago,4.8 (1424),https://resizer.otstatic.com/v2/photos/huge/3/66291000.jpg,https://www.opentable.com/r/girl-and-the-goat-chicago?ot_marketing=true
"Joe's Seafood, Prime Steak & Stone Crab",Chicago,4.9 (1236),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/3b043cabeadac60f42bedaa14243072e.webp,https://www.opentable.com/joes-seafood-prime-steak-and-stone-crab-chicago
Le Colonial – Chicago,Chicago,4.8 (959),https://resizer.otstatic.com/v2/photos/huge/3/61279744.jpg,https://www.opentable.com/r/le-colonial-chicago?ot_marketing=true
RL Restaurant,Chicago,4.9 (1190),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/6071cb64f96b996c6376438935b5e67e.webp,https://www.opentable.com/rl-restaurant
Rose Mary,Chicago,4.8 (1154),https://resizer.otstatic.com/v2/photos/huge/4/66094194.jpg,https://www.opentable.com/r/rose-mary-chicago?ot_marketing=true
Our Table | American Bistro,Bargersville,4.9 (243),https://images.otstatic.com/prod1/46891824/3/huge.jpg,https://www.opentable.com/r/our-table-american-bistro-bargersville?ot_marketing=true
Vida,Indianapolis,5 (294),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/2d9b8b1d3bc1fb6237b1247511740772.webp,https://www.opentable.com/r/vida-indianapolis-3?ot_marketing=true
GW Fins,New Orleans,4.9 (1037),https://resizer.otstatic.com/v2/photos/huge/3/69747701.jpg,https://www.opentable.com/gw-fins
Ruth's Chris Steak House – Baton Rouge,Baton Rouge,5 (339),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/5566d9a8835b1498bcc8eca1ad9b4764.webp,https://www.opentable.com/ruths-chris-steak-house-baton-rouge
Bar Vlaha,Brookline,4.8 (523),https://images.otstatic.com/prod1/51791644/3/huge.jpg,https://www.opentable.com/r/bar-vlaha-brookline?ot_marketing=true
Giulia Restaurant,Cambridge,4.8 (196),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/8265ceb08fc1fdc8e0dc895d946feedd.webp,https://www.opentable.com/giulia-restaurant
Krasi,Boston,4.8 (628),https://images.otstatic.com/prod1/31270008/3/huge.jpg,https://www.opentable.com/r/krasi-boston?ot_marketing=true
Pammy's,Cambridge,4.8 (359),https://images.otstatic.com/prod/25552732/1/huge.jpg,https://www.opentable.com/r/pammys-cambridge?ot_marketing=true
Silver Dove Afternoon Tea,Boston,4.8 (186),https://images.otstatic.com/prod1/51251273/3/huge.jpg,https://www.opentable.com/r/silver-dove-afternoon-tea-boston?ot_marketing=true
The Nautilus – Nantucket,Nantucket,4.8 (158),https://images.otstatic.com/prod1/56871506/3/huge.png,https://www.opentable.com/r/the-nautilus-nantucket?ot_marketing=true
Fore Street,Portland,4.9 (526),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/77936bc3f19903ae8d45d04e75aa573e.webp,https://www.opentable.com/fore-street
Scales,Portland,4.8 (1039),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/3cdbc68203ae2bdd21abc19b4c31f132.webp,https://www.opentable.com/scales
O-Ku – Charlotte,Charlotte,4.7 (339),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/33992d8a2c250ebc02c5a7b459f545cd.webp,https://www.opentable.com/r/o-ku-charlotte?ot_marketing=true
Stella Restaurant,Ventnor,4.9 (127),https://images.otstatic.com/prod/28724228/3/huge.jpg,https://www.opentable.com/r/stella-restaurant-ventnor?ot_marketing=true
The Saddle River Inn,Saddle River,4.8 (247),https://images.otstatic.com/prod1/50533871/3/huge.jpg,https://www.opentable.com/the-saddle-river-inn
Geronimo,Santa Fe,4.9 (966),https://images.otstatic.com/prod1/26179416/6/huge.jpg,https://www.opentable.com/geronimo-santa-fe
Beauty & Essex- Las Vegas,Las Vegas,4.8 (1216),https://images.otstatic.com/prod1/29632936/1/huge.jpg,https://www.opentable.com/r/beauty-and-essex-las-vegas?ot_marketing=true
Golden Steer Steakhouse,Las Vegas,4.8 (1336),https://resizer.otstatic.com/v2/photos/huge/1/71521673.jpg,https://www.opentable.com/golden-steer-steakhouse
Partage,Las Vegas,4.9 (221),https://images.otstatic.com/prod/25839852/1/huge.jpg,https://www.opentable.com/r/partage-las-vegas-2?ot_marketing=true
ASKA,Brooklyn,4.9 (140),https://resizer.otstatic.com/v2/photos/huge/9/64518423.jpg,https://www.opentable.com/r/aska-brooklyn?ot_marketing=true
Del Vino Vineyards,Northport,4.9 (936),https://images.otstatic.com/prod1/51863786/3/huge.jpg,https://www.opentable.com/r/del-vino-vineyards-northport?ot_marketing=true
Gallaghers Steakhouse – Manhattan,New York,4.8 (2377),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/31fab2f9f952a826f881a8f20d1d52b1.webp,https://www.opentable.com/gallaghers-steakhouse-manhattan
Lucia's on the Lake,Hamburg,4.9 (415),https://images.otstatic.com/prod/25161089/1/huge.jpg,https://www.opentable.com/r/lucias-on-the-lake-hamburg-2?ot_marketing=true
Palma,New York,4.9 (444),https://resizer.otstatic.com/v2/photos/huge/3/61642744.jpg,https://www.opentable.com/palma
The Odeon,New York,4.8 (685),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/daf449ddd404a80deb6ba4214930159b.webp,https://www.opentable.com/the-odeon
The River Cafe,Brooklyn,4.9 (449),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/f277394a62582f4657ac38f2e029b38d.webp,https://www.opentable.com/r/the-river-cafe-brooklyn?ot_marketing=true
Alfio's buon cibo,Cincinnati,4.9 (353),https://images.otstatic.com/prod1/51863818/3/huge.jpg,https://www.opentable.com/alfios-buon-cibo
BOCA,Cincinnati,4.9 (640),https://images.otstatic.com/prod/25161793/1/huge.jpg,https://www.opentable.com/boca-restaurant-cincinnati
Jeff Ruby's Steakhouse – Cincinnati,Cincinnati,4.8 (1225),https://images.otstatic.com/prod1/49913952/3/huge.jpg,https://www.opentable.com/jeff-rubys-steakhouse-cincinnati
Pepp & Dolores,Cincinnati,4.9 (995),https://images.otstatic.com/prod1/30089964/1/huge.jpg,https://www.opentable.com/r/pepp-and-dolores-cincinnati-2?ot_marketing=true
Sotto,Cincinnati,4.9 (1705),https://images.otstatic.com/prod/25161835/1/huge.jpg,https://www.opentable.com/sotto-cincinnati
The Precinct,Cincinnati,4.8 (855),https://images.otstatic.com/prod1/50573854/2/huge.jpg,https://www.opentable.com/the-precinct
Rosmarino Osteria Italiana,Newberg,4.9 (390),https://images.otstatic.com/prod/26245067/3/huge.jpg,https://www.opentable.com/r/rosmarino-osteria-italiana-newberg?ot_marketing=true
Morcilla,Pittsburgh,4.9 (224),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/328d32cd370d46aa89cae719cd72f550.webp,https://www.opentable.com/morcilla
Saloon Restaurant,Philadelphia,4.9 (396),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/e4dab6aae0236ce17ae3f6b6e6809270.webp,https://www.opentable.com/saloon-restaurant
Marmalade Restaurant & Wine Bar,Old San Juan,4.9 (345),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/9b7c4396663a75b031194e464973b2d2.webp,https://www.opentable.com/marmalade-restaurant-and-wine-bar
Gracie's,Providence,4.9 (171),https://images.otstatic.com/prod1/31140103/3/huge.jpg,https://www.opentable.com/gracies-providence
The Bluffton Room,Bluffton,4.9 (225),https://images.otstatic.com/prod1/30448874/1/huge.jpg,https://www.opentable.com/the-bluffton-room
Flight Restaurant & Wine Bar,Memphis,4.9 (482),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/5d1278ff9e15af7f4152b96a69e426ad.webp,https://www.opentable.com/r/flight-restaurant-and-wine-bar-memphis?ot_marketing=true
Noko,Nashville,4.9 (702),https://images.otstatic.com/prod1/51540525/2/huge.jpg,https://www.opentable.com/r/noko-nashville?ot_marketing=true
Aba – Austin,Austin,4.8 (1003),https://images.otstatic.com/prod1/51862790/1/huge.jpg,https://www.opentable.com/r/aba-austin?ot_marketing=true
Hudson House – Lovers Lane,Dallas,4.8 (398),https://resizer.otstatic.com/v2/photos/huge/3/57720303.jpg,https://www.opentable.com/r/hudson-house-dallas?ot_marketing=true
J Carver's,Austin,4.9 (562),https://images.otstatic.com/prod1/56809497/3/huge.jpg,https://www.opentable.com/r/j-carvers-austin?ot_marketing=true
Jeffrey's Restaurant,Austin,4.8 (390),https://resizer.otstatic.com/v2/photos/huge/2/69329946.jpg,https://www.opentable.com/r/jeffreys-restaurant-austin?ot_marketing=true
Red Ash Italia,Austin,4.9 (1101),https://resizer.otstatic.com/v2/photos/huge/2/69712709.jpg,https://www.opentable.com/r/red-ash-italia-austin?ot_marketing=true
Sammie's Italian,Austin,4.8 (415),https://resizer.otstatic.com/v2/photos/huge/3/69472271.jpg,https://www.opentable.com/r/sammies-italian-austin?ot_marketing=true
Signature,San Antonio,4.9 (258),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/ee2d15d82627c7415b185d610b562c9f.webp,https://www.opentable.com/r/signature-san-antonio?ot_marketing=true
Steak 48 – Houston,Houston,4.9 (926),https://images.otstatic.com/prod/26257060/3/huge.jpg,https://www.opentable.com/r/steak-48-houston?ot_marketing=true
Uchi Austin,Austin,4.9 (332),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/a3b88f331fa31df74ef7874476587a0e.webp,https://www.opentable.com/r/uchi-austin-austin?ot_marketing=true
Uchiko Austin,Austin,4.8 (326),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/be84c2b541b9f003c358314b85ff0a54.webp,https://www.opentable.com/r/uchiko-austin?ot_marketing=true
Yuki Yama,Park City,4.8 (353),https://resizer.otstatic.com/v2/photos/huge/2/70602772.jpg,https://www.opentable.com/r/yuki-yama-park-city?ot_marketing=true
L'Auberge Chez Francois,Great Falls,4.9 (427),https://images.otstatic.com/prod/25887094/1/huge.jpg,https://www.opentable.com/lauberge-chez-francois
L'Opossum,Richmond,4.9 (324),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/a6899e6ee95d7a0137ccb4b5cfe04dab.webp,https://www.opentable.com/lopossum
Stella's – Richmond,Richmond,4.9 (319),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/f57aef6edbe9e72cda59184d7770e46d.webp,https://www.opentable.com/stellas-restaurant-richmond
Spinasse,Seattle,4.8 (318),https://www.opentable.com/c/wp-content/uploads/sites/340/2024/11/5b8fa72c2fb5748b91ad61e35ef80f7d.webp,https://www.opentable.com/r/spinasse-seattle?ot_marketing=true
The Pink Door,Seattle,4.8 (997),https://resizer.otstatic.com/v2/photos/huge/2/70565088.jpg,https://www.opentable.com/r/the-pink-door-seattle?ot_marketing=true
